7,0.18,0,0,0,0.17,0,0,0,0.08,0,0,0,0,0,0.25,0
33,0.23,0.02,0,0,0,0,0.12,0.13,0,0,0,0,0,0,0.14,0.11
34,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0.25,0
35,0,0,0.25,0,0.1,0.15,0,0,0,0,0,0,0.25,0,0,0
36,0.25,0,0,0,0.14,0.11,0,0,0,0,0,0,0,0,0,0.25
37,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0
38,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.12,0.13,0
39,0,0.05,0,0,0,0.09,0,0.01,0.09,0.02,0,0,0,0,0,0
41,0.25,0,0,0,0,0.24,0,0,0,0.22,0,0,0,0.25,0,0
42,0,0,0.25,0,0,0,0.04,0.21,0,0,0,0,0,0,0.06,0.19
43,0,0.06,0,0.08,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0
45,0,0.2,0.05,0,0,0,0,0.25,0,0,0.25,0,0,0.14,0,0
46,0.16,0,0,0.09,0,0,0,0.25,0,0,0.11,0.14,0.25,0,0,0
48,0,0.04,0.21,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0.25
49,0.25,0,0,0,0,0.25,0,0,0,0,0.01,0.24,0,0.25,0,0
50,0,0,0,0.25,0,0,0,0,0,0,0,0,0.18,0.07,0,0
51,0,0,0.15,0.1,0,0,0.21,0.04,0,0,0,0,0,0.25,0,0
52,0,0,0,0,0,0,0,0,0,0.2,0,0,0.19,0,0.06,0
53,0,0,0.12,0.13,0.12,0,0.13,0,0.24,0.01,0,0,0,0.25,0,0
54,0.25,0,0,0,0.24,0,0.01,0,0,0,0.25,0,0,0.25,0,0
55,0,0,0.25,0,0,0,0,0,0,0.23,0,0,0.2,0.05,0,0
56,0,0.25,0,0,0,0.21,0,0,0,0,0.25,0,0.25,0,0,0
57,0,0.25,0,0,0,0,0.06,0.19,0.25,0,0,0,0,0.25,0,0
59,0,0.15,0,0.1,0,0,0,0,0,0.25,0,0,0.25,0,0,0
62,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0,0,0
63,0,0,0.08,0.17,0,0,0.25,0,0,0.25,0,0,0,0,0.25,0
64,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0.13,0.12
65,0,0,0.25,0,0.17,0,0,0,0.04,0,0,0.21,0,0,0.14,0.11
66,0.02,0,0,0,0.11,0,0.14,0,0,0.25,0,0,0,0,0.25,0
