155,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0.03,0.22,0.25,0,0,0.19,0,0,0.14,0,0.03,0.22,0.09,0,0.2,0,0,0.25,0.18,0.07,0,0,0,0.02,0,0,,,
156,0,0,0.25,0,0,0,0,0,0.12,0.13,0.04,0.21,0.18,0.07,0.1,0.15,0,0,0.25,0,0.13,0,0,0.25,0.25,0,0,0,0.17,0.08,0.14,0.11,0.07,0.18,0,0,0,0.2,0,0.25,
158,0,0,0,0,0,0,0,0,0.09,0,0,0.21,0,0.25,0,0,0,0.25,0.25,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0.12,0.08,0,0,0,0,0,0,0,
159,0,0,0.02,0.23,0,0.25,0.24,0,0.09,0.16,0,0,0,0,0,0.25,0.01,0.24,0.25,0,0,0.25,0.25,0,0.19,0.06,0.25,0,0.17,0.08,,,,,,,,,,,
160,0.25,0,0.24,0.01,0.02,0,0,0,0.16,0.09,0,0,0.25,0,0.06,0.19,0,0,0.25,0,0.01,0,0.17,0.08,0.25,0,0,0.25,0,0.21,0,0.25,0.04,0,0.16,0,0,0.25,0.25,0,
161,0.25,0,0.25,0,0.15,0.1,0.25,0,0.14,0.11,0,0.25,0,0.06,0.16,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0.06,0.19,0.09,0.16,0,0.25,0.01,0.24,0.25,0,0,0.25,
162,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0.21,0,0,0.25,0,0,0,0,0,0,0.02,0.1,0,0.25,0.25,0,0.25,0,0,0.2,0,0,0,0.02,
164,0.25,0,0.11,0.14,0,0.25,0.16,0.09,0,0,0.23,0.02,0,0,0,0.25,0.1,0.15,0,0,0,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0.25,0.25,0,0.25,0,
165,0.25,0,0.02,0,0.13,0,0,0,0,0.25,0.25,0,0,0.18,0,0,0,0,0,0,0,0,0,0.25,0.08,0,0.07,0.18,0,0,0.24,0.01,0.25,0,0,0,0,0.13,0.25,0,
167,0.14,0.11,0.17,0,0,0.25,0.25,0,0.23,0,0.19,0.06,0.25,0,0.08,0.17,0.18,0.07,0,0,0.22,0.03,0.25,0,0,0.25,0.06,0.19,0,0.25,0,0,0,0.25,0.25,0,0.25,0,0.25,0,
169,0,0.25,0.25,0,0.25,0,0.25,0,0.03,0.18,0.06,0.19,0,0,0.25,0,0,0,0,0,0.25,0,0.03,0.22,0,0.25,0,0.25,0,0.25,0.25,0,0,0,0.01,0.24,0,0.25,0.25,0,
170,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.05,0.2,0.11,0,0,0,0,0,0.25,0,0,0.25,0,0,0.04,0.05,0.25,0,0,0,0.23,0,
171,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.19,0.06,0,0,0,0.25,0.19,0.06,0.25,0,0.12,0,0.25,0,0.14,0.11,0,0.25,0.25,0,0.25,0,0,0,0,0,
172,0,0.25,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0.25,0,0,0,0.25,0,0.09,0,0.25,0,0,0.03,0,0,0,0,0,0,
173,0,0.25,0,0,0.25,0,0,0.25,0.25,0,0.25,0,0,0.25,0.18,0.07,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0.13,0.12,0.25,0,0.2,0.05,0,0.25,0.1,0.15,0.25,0,0.25,0,
174,0,0.25,0,0,0,0,0.24,0.01,0,0,0,0,0.2,0.05,0.25,0,0.25,0,0.12,0.13,0,0,0.25,0,0,0,0.25,0,0.06,0.19,0,0.25,0.15,0,0,0,0,0,0,0.16,
176,0,0.25,0.25,0,0,0.25,0,0.25,0.17,0,0.11,0.14,0.24,0.01,0,0.25,0.25,0,0,0.25,0.05,0.2,0.25,0,0,0,0.22,0.03,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0.25,
177,0.25,0,0.21,0,0.22,0.03,0.1,0.15,0.02,0.23,0.23,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0.02,0,0,0,0.25,0.17,0.08,
178,0.05,0.2,0.08,0.17,0,0,0.22,0.03,0.25,0,0.25,0,0,0,0.09,0.08,0.25,0,0.09,0.16,0.25,0,0.25,0,0.12,0.13,0,0.25,0.05,0.2,0.25,0,0.25,0,0.25,0,0.25,0,0,0,
179,0,0.25,0.25,0,0.23,0.02,0.23,0.02,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.13,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0,0.1,0.15,0,0.25,0.12,0.13,0.23,0.02,
180,0,0,0,0.25,0,0.25,0.21,0,0.12,0,0,0.25,0,0.25,0.09,0,0,0,0.25,0,0.25,0,0.08,0.17,0.06,0.19,0.23,0.02,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0.09,0.16,
181,0,0.1,0.16,0.09,0.21,0.04,0.25,0,0,0,0.25,0,0,0.25,0.14,0.11,0.25,0,0.19,0.06,0.25,0,0.25,0,0.25,0,0.19,0.06,0,0.25,0,0.25,0.24,0.01,0.25,0,0.24,0.01,0.12,0.13,
182,0,0,0.23,0.02,0.25,0,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0.05,0,0.25,0,0.25,0,0,0,0.17,0.08,0.15,0,0.25,0,0.23,0.02,0,0.25,0.25,0,0.25,0,
