27,0,0,0,0.12,0,0,0,0,0.19,0,0,0,0.25,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.25,0.06,0.12,0,0,0,0,0.24,0,0,0
28,0.25,0,0,0,0.09,0.16,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.18,0.07
31,0,0,0,0.25,0,0.25,0,0,0.05,0.2,0,0,0.25,0,0.25,0,0,0,0.03,0.22,0,0.25,0.25,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0.02,0.25,0
33,0,0,0,0,0,0.25,0.25,0,0.18,0.07,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0.25,0,0.25,0.06,0.19,0.13,0.12
34,0,0,0,0,0,0,0.11,0,0.25,0,0,0.1,0.2,0,0.14,0,0.23,0,0,0,0.02,0.23,0,0,0.02,0.23,0,0,0,0.25,0.25,0,0,0,0,0,0.25,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0
36,0.13,0.12,0,0.25,0.13,0.12,0,0.25,0.25,0,0.25,0,0,0,0.04,0.21,0.25,0,0.22,0,0.25,0,0.25,0,0,0,0,0.25,0.25,0,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25
38,0.22,0.03,0.25,0,0,0,0,0,0.03,0.22,0,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0.19
39,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,0
41,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.07,0,0,0,0,0,0.1,0.15
42,0.02,0,0.25,0,0,0,0,0,0,0,0,0,0.01,0.24,0,0,0,0.1,0,0,0.05,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0
43,0.25,0,0.25,0,0.2,0.05,0,0,0.25,0,0.25,0,0.25,0,0,0,0.15,0.1,0.25,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0.19,0,0,0,0,0,0.11,0.25,0
44,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0.22,0.03,0,0.25,0,0,0.25,0,0.25,0,0,0.25
45,0.18,0.07,0,0.25,0.08,0.09,0,0.25,0.1,0.14,0.25,0,0.18,0.07,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0.25,0.23,0.02,0.25,0,0.25,0,0.19,0.06
46,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.06,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.25,0,0,0,0,0,0,0,0,0.01,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0.04,0,0,0,0.03,0,0.25,0
50,0,0.25,0.08,0.17,0.25,0,0.07,0,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0.03,0.22,0.25,0,0,0,0.25,0,0,0.25,0,0.25
51,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0,0,0,0,0,0.21,0.09,0.16,0,0,0,0.25,0,0.13,0,0.15,0,0,0,0.08,0.17,0,0,0,0,0.25
52,0,0.25,0.1,0.15,0.25,0,0,0,0.01,0,0,0.07,0.25,0,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0.25,0,0.11,0,0.25,0,0.25,0,0,0,0,0,0,0.25
53,0,0.17,0,0,0,0,0,0,0.02,0.23,0,0,0.25,0,0.25,0,0.21,0.04,0,0,0,0,0,0.25,0,0,0,0.09,0.07,0,0,0,0,0,0,0.25,0.25,0,0,0
54,0,0,0.03,0,0.09,0,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0.25,0,0.08,0,0.25,0.14,0,0.2,0.05,0.19,0,0.25,0,0,0,0.13,0
55,0,0.25,0.01,0.24,0,0.25,0,0.25,0,0.25,0,0.25,0.18,0,0,0.25,0,0.13,0.07,0,0.21,0,0.12,0,0.25,0,0,0.25,0,0,0,0.08,0,0,0,0,0,0.22,0,0.11
57,0.08,0.17,0,0,0.25,0,0.24,0.01,0,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0,0,0.07,0.17,0.08,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
58,0,0,0,0,0,0,0.25,0,0.25,0,0.05,0,0,0,0,0,0,0,0.13,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0
59,0,0.25,0,0,0,0,0,0.25,0.09,0,0,0.02,0,0,0,0,0,0,0.25,0,0,0.02,0,0,0.25,0,0.13,0,0.04,0.21,0,0,0,0.25,0,0,0,0,0,0.25
