1,0.01,0.24,0.25,0,0,0,0,0.25
2,0,0,0,0,0,0,0,0.04
3,0,0,0,0.25,0,0.25,0,0.21
6,0,0.08,0,0.05,0.01,0.24,0.25,0
7,0.25,0,0,0.25,0,0.25,0,0.08
8,0,0.25,0,0.25,0,0.25,0.25,0
9,0,0.25,0,0.25,0,0,0,0.25
10,0.25,0,0,0.25,0.07,0.18,0,0.25
11,0.25,0,0,0.25,0,0.25,0.11,0.14
12,0.25,0,0,0.25,0,0.25,0,0.25
13,0,0.25,0,0.25,0.25,0,0,0.25
14,0,0,0,0.25,0,0.25,0.25,0
15,0,0.25,0,0.15,0.22,0.03,0.08,0
16,0,0,0,0.02,0,0.25,0.04,0.21
17,0,0.25,0,0.25,0,0.25,0.25,0
18,0.25,0,0,0.25,0.25,0,0,0.19
19,0,0,0.25,0,0.11,0.14,0.14,0
20,0.25,0,0.23,0,0.25,0,0.25,0
21,0.25,0,0,0.25,0,0.25,0,0.25
22,0,0,0,0,0.25,0,0.17,0
23,0.25,0,0.18,0.07,0.12,0.13,0.25,0
24,0,0.25,0,0,0,0,0.12,0.13
25,0,0.25,0,0.25,0.25,0,0,0.25
27,0.25,0,0.25,0,0.21,0.04,0.24,0.01
28,0,0.25,0.23,0.02,0,0.25,0.25,0
31,0,0.25,0.25,0,0,0.25,0,0.25
33,0,0,0,0,0,0.25,0,0.25
34,0.15,0,0,0.25,0,0.25,0,0.25
35,0,0.25,0,0,0.25,0,0.25,0
36,0.07,0.18,0,0.25,0,0.15,0.13,0.12
37,0.25,0,0,0,0,0,0,0.25
38,0,0,0,0,0.25,0,0.11,0.14
39,0,0.13,0.25,0,0.25,0,0,0.05
41,0,0.25,0,0,0.25,0,0,0.25
42,0,0.25,0,0.17,0.25,0,0,0
43,0,0.25,0,0,0.08,0.17,0.25,0
45,0.25,0,0.22,0.03,0.25,0,0.25,0
46,0.25,0,0.07,0.18,0,0.25,0.25,0
48,0,0.25,0.25,0,0,0.25,0,0.25
49,0,0.25,0.25,0,0,0,0.25,0
50,0.25,0,0.25,0,0,0.25,0,0.25
51,0.25,0,0,0.25,0.25,0,0,0.25
52,0.25,0,0.23,0.02,0.01,0.24,0.25,0
53,0.25,0,0,0.25,0,0.25,0,0.25
54,0,0.25,0.25,0,0.03,0.22,0.25,0
55,0,0,0.07,0,0.08,0,0.18,0
56,0.25,0,0.25,0,0,0,0.25,0
57,0,0.25,0.25,0,0,0.25,0.17,0.08
59,0.25,0,0,0.25,0.23,0.02,0,0.25
62,0.2,0.05,0,0.25,0.25,0,0,0.25
63,0.25,0,0,0.25,0.14,0.11,0.25,0
64,0,0.25,0,0.25,0.21,0.04,0.25,0
65,0,0,0,0.25,0.17,0.08,0,0
66,0.25,0,0.25,0,0,0.25,0,0.04
67,0.25,0,0,0.25,0.25,0,0,0.25
69,0,0.25,0.07,0.03,0.23,0.02,0.25,0
70,0.25,0,0.25,0,0.25,0,0.16,0
71,0,0.25,0.13,0.12,0.25,0,0.02,0.08
72,0,0,0.25,0,0,0,0.25,0
73,0,0.25,0.18,0,0.25,0,0,0
74,0.01,0,0.01,0,0,0,0,0
75,0,0,0.25,0,0.25,0,0.25,0
76,0,0,0,0,0,0,0.25,0
77,0,0,0,0,0,0,0,0
78,0,0.25,0.25,0,0.25,0,0.25,0
79,0.04,0,0.25,0,0,0,0.25,0
80,0,0,0.25,0,0,0,0.22,0
81,0,0,0.25,0,0,0,0,0
83,0,0.25,0.25,0,0.25,0,0,0.25
87,0.12,0,0.07,0.01,0,0,0,0.25
89,0.11,0.14,0.25,0,0.25,0,0.25,0
90,0.25,0,0.01,0.24,0.23,0.02,0,0.25
91,0.25,0,0.25,0,0,0.25,0.25,0
92,0.25,0,0.25,0,0,0.25,0,0.25
93,0.19,0,0,0.25,0,0.12,0,0.25
94,0.25,0,0,0.25,0.25,0,0.25,0
95,0,0.25,0.25,0,0.25,0,0.13,0.12
97,0.19,0.06,0.25,0,0,0.25,0.25,0
98,0.25,0,0.25,0,0.25,0,0.25,0
101,0,0,0,0,0,0,0.25,0
102,0.25,0,0,0.25,0,0.25,0.25,0
103,0,0,0,0.25,0,0.25,0,0.25
106,0.01,0.24,0,0,0,0.04,0,0
108,0.05,0.2,0,0,0,0,0,0.25
109,0.25,0,0.25,0,0,0.25,0,0.25
110,0.25,0,0.25,0,0,0.04,0,0.25
111,0.23,0,0,0.25,0,0.25,0,0.25
112,0,0,0,0.25,0,0.08,0,0
113,0,0.25,0,0,0.25,0,0.25,0
114,0,0.25,0.25,0,0,0.25,0,0.25
117,0,0,0,0,0,0,0.25,0
118,0.25,0,0,0.25,0,0,0.23,0.02
119,0,0,0.09,0.16,0,0,0,0
121,0.09,0.16,0,0,0,0.25,0,0.25
122,0,0.25,0.25,0,0.25,0,0,0.25
123,0,0,0,0,0.12,0,0.04,0
124,0.06,0,0,0,0.25,0,0,0.25
126,0,0,0.25,0,0,0.25,0.25,0
127,0.25,0,0,0.09,0,0.18,0.25,0
128,0.25,0,0.25,0,0,0.25,0.11,0.14
129,0,0,0,0,0,0.15,0,0
130,0,0.25,0.25,0,0,0.25,0,0.25
131,0.25,0,0.25,0,0.06,0.19,0,0.25
133,0,0,0,0.25,0.25,0,0.25,0
134,0.2,0.05,0,0.25,0,0.25,0.25,0
135,0.25,0,0,0.25,0,0.25,0,0.25
136,0,0.25,0,0.25,0,0.25,0,0.25
138,0,0.25,0.21,0.04,0.12,0.13,0.21,0.04
139,0.25,0,0,0.25,0.25,0,0,0.25
141,0,0,0,0,0.12,0.13,0.25,0
142,0,0.25,0.15,0.1,0,0,0,0
143,0,0,0,0,0.22,0,0.15,0.1
144,0.25,0,0,0.25,0,0.25,0,0.25
145,0.25,0,0,0,0,0.25,0.25,0
146,0.25,0,0.18,0.07,0,0.25,0,0
147,0.25,0,0.01,0.24,0,0,0.01,0.24
149,0,0.25,0.25,0,0.17,0.08,0.25,0
150,0,0,0,0,0,0,0,0.07
151,0,0,0,0,0,0,0,0
153,0.25,0,0.25,0,0,0.25,0.25,0
155,0.25,0,0,0,0.08,0.17,0,0.25
156,0.14,0,0.16,0.09,0,0.25,0,0.25
157,0,0.25,0,0.25,0,0,0,0.25
158,0.25,0,0,0.25,0.25,0,0.25,0
160,0.25,0,0,0,0,0.25,0,0.25
161,0.25,0,0.25,0,0,0.25,0,0.25
165,0,0,0.25,0,0,0.25,0.25,0
166,0.12,0,0.1,0.15,0,0,0.2,0.05
167,0,0.25,0,0.25,0,0.25,0,0.25
170,0,0.04,0,0.25,0.05,0.02,0.25,0
173,0.25,0,0,0.25,0.25,0,0,0.04
174,0.25,0,0.25,0,0,0.25,0.25,0
175,0,0.25,0.1,0.15,0.25,0,0,0.25
178,0,0,0,0,0,0,0,0
180,0.25,0,0,0.25,0,0.25,0.08,0.17
