28,0.24,0.24,0.13,0,0,0.16,0,0.48,0,0,0,0,0.08,0.4,0.48,0,0.42,0,0.48,0,0.48,0,0.27,0,0,0,0,0.48,0,0,0,0,0.27,0,0.23,0.25,0,0,0,0
29,0.12,0,0,0,0.47,0,0,0,0.11,0.25,0,0,0,0,0,0,0,0.08,0,0,0,0.48,0,0,0.28,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0
30,0,0,0,0,0,0.48,0,0.48,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0.48,0,0,0,0.48,0,0,0.48,0,0,0
31,0,0,0.48,0,0.28,0.2,0.48,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0.21,0,0,0,0,0.07,0.11,0,0.39,0.02,0
32,0.46,0,0.47,0,0,0,0.36,0.12,0.48,0,0.23,0.25,0,0.48,0.15,0.34,0.47,0,0.3,0.18,0.48,0,0,0.48,0,0.47,0.48,0,0,0.49,0,0.42,0,0.45,0,0.48,0,0.47,0.43,0
33,0.19,0,0,0,0,0,0,0,0.04,0,0.27,0.08,0,0.1,0.47,0,0.34,0.14,0,0,0,0.23,0.36,0.11,0.07,0,0,0,0.47,0,0,0.34,0.18,0,0.32,0,0,0.45,0,0.02
34,0,0.17,0.35,0.12,0,0,0,0,0.17,0.19,0,0.02,0.2,0.08,0,0.13,0.32,0.16,0,0.47,0,0,0.21,0.26,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0
35,0.48,0,0.23,0,0.01,0,0,0.39,0,0.49,0,0.49,0.42,0,0.47,0,0,0.48,0.48,0,0.33,0.15,0.05,0,0,0.48,0.47,0,0.47,0,0,0,0,0,0.24,0.18,0.47,0,0,0.35
36,0.48,0,0.47,0,0.1,0.37,0,0.47,0,0.47,0.48,0,0.48,0,0,0.03,0.47,0,0.47,0,0.47,0.01,0.05,0.43,0.47,0,0.47,0,0.4,0.09,0.47,0,0,0.08,0.48,0,0,0.47,0.49,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.43,0.04,0,0.47,0,0,0.26,0.22,0.29,0,0,0.48,0.49,0,0.29,0,0,0,0.11,0.38,0,0,0.03,0,0,0.48,0.48,0,0.48,0,0,0.47,0.48,0,0,0,0,0,0.03,0.45
39,0,0,0,0.13,0.37,0.1,0,0.48,0.29,0,0,0.41,0.17,0,0,0,0.28,0,0.13,0,0,0,0.02,0,0.04,0,0,0.41,0,0,0,0,0,0,0,0,0.27,0,0.01,0
40,0.24,0,0,0,0,0,0.48,0,0,0.47,0.38,0.1,0.2,0,0.47,0,0,0,0.48,0,0.31,0,0.47,0,0,0,0.39,0,0,0,0,0,0,0.48,0.48,0,0,0,0,0
41,0.38,0.1,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.37,0,0,0,0.07,0.3
42,0,0,0.15,0,0,0,0.16,0,0,0.48,0.38,0,0.48,0,0,0,0,0,0,0.34,0,0.48,0,0.25,0,0,0,0,0.33,0.15,0,0.48,0.11,0.17,0,0.48,0.48,0,0.48,0
43,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.46,0,0,0,0.48,0,0.47,0,0,0,0,0,0,0,0.15,0,0.45,0.02,0.47,0,0.24,0,0,0
45,0,0,0.21,0.27,0.08,0.39,0,0.48,0,0.48,0.25,0,0.48,0,0.11,0.37,0,0.19,0,0,0,0.48,0,0.48,0.49,0,0.48,0,0.38,0.11,0.1,0.17,0,0,0,0,0,0,0,0
46,0.43,0.04,0.47,0,0,0.47,0,0,0.48,0,0,0.2,0,0.47,0,0,0.15,0,0,0,0,0,0.48,0,0,0,0,0.48,0,0,0.48,0,0,0,0,0,0,0,0,0.48
47,0,0.08,0.21,0,0.47,0,0.48,0,0,0.47,0.35,0,0.48,0,0.48,0,0.47,0,0,0.48,0,0.47,0,0.47,0,0.12,0,0.34,0.48,0,0.33,0.14,0.47,0,0.49,0,0.03,0,0.47,0
