30,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0,0.25,0.2,0.05
31,0.25,0.09,0.25,0,0,0.25,0.02,0,0,0,0.12,0,0,0.25
33,0.16,0.07,0.25,0,0,0.15,0,0,0.07,0,0,0,0,0
34,0.25,0.25,0.06,0,0,0,0,0.25,0,0,0.23,0,0,0
35,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.06,0.19
36,0.25,0.25,0.25,0,0,0.25,0.07,0.18,0,0.25,0.25,0,0,0
37,0.25,0.15,0,0.03,0,0,0.13,0,0.12,0,0.03,0,0.25,0
38,0.25,0.25,0.07,0.18,0,0,0.11,0.14,0.25,0,0.25,0,0,0
39,0.25,0.08,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0.1,0.15,0.25,0,0.21,0.04
42,0.25,0.25,0.25,0,0.11,0.14,0,0.25,0,0,0.25,0,0,0
43,0.25,0.04,0,0,0.03,0.22,0,0.25,0,0,0,0,0.01,0.24
44,0.06,0.25,0.18,0,0,0,0,0.02,0,0,0.02,0,0.23,0
45,0,0.25,0.08,0,0.21,0.04,0.25,0,0.25,0,0.25,0,0,0.25
46,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0
48,0,0,0,0,0,0,0.02,0,0,0,0.11,0,0,0
49,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0,0.25
50,0.25,0.25,0.01,0.24,0.25,0,0.25,0,0,0.24,0.25,0,0.25,0
51,0.25,0.25,0,0.17,0,0,0,0.22,0,0,0.06,0,0,0.25
52,0.25,0.25,0.23,0,0.08,0.17,0,0.25,0.25,0,0.25,0,0,0
53,0.25,0.25,0.03,0.22,0,0.25,0.25,0,0.19,0,0.25,0,0,0
54,0.25,0.25,0.25,0,0,0.12,0,0,0,0,0.25,0,0,0
56,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25
57,0.25,0.22,0,0,0,0.25,0.25,0,0,0.17,0.25,0,0.25,0
58,0,0.25,0,0.25,0.25,0,0.25,0,0,0,0.21,0,0,0
59,0.25,0.25,0.05,0.2,0,0.25,0,0.25,0,0.25,0.25,0,0.08,0.17
62,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0.19,0.06
63,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25
64,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0.17,0,0.09,0
65,0,0,0.25,0,0,0.1,0,0,0.25,0,0,0,0,0.25
66,0.13,0.25,0.05,0.2,0,0.25,0,0.25,0,0,0.25,0,0.21,0
67,0,0.25,0.21,0.04,0,0.25,0.16,0.09,0.22,0.03,0.25,0,0.25,0
68,0.25,0.25,0.25,0,0,0.21,0,0,0,0.25,0.25,0,0.14,0
69,0.25,0.25,0,0.25,0.25,0,0,0.25,0.02,0,0.25,0,0.14,0.11
70,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0.25,0,0.23,0
71,0.25,0.25,0.25,0,0.25,0,0.25,0,0.05,0,0.25,0,0,0
73,0.25,0.25,0.25,0,0.25,0,0,0.25,0.2,0,0.25,0,0,0.25
74,0.25,0.17,0,0,0.02,0,0,0,0.1,0,0.25,0,0,0.03
75,0.25,0.25,0.25,0,0,0,0.25,0,0.25,0,0.02,0,0,0
76,0.25,0.25,0.24,0.01,0.25,0,0,0.25,0.25,0,0.25,0,0,0
77,0.25,0.25,0.25,0,0,0,0.01,0.24,0,0.25,0.25,0,0.06,0.19
78,0.25,0.25,0,0.22,0,0,0,0.12,0,0.15,0.25,0,0.07,0
81,0.25,0.25,0,0.25,0.25,0,0.19,0,0,0,0.25,0,0.25,0
83,0.25,0.25,0.25,0,0.05,0,0.04,0.21,0,0,0.25,0,0,0.25
87,0.25,0.25,0,0.25,0,0.25,0.25,0,0.16,0,0.25,0,0.25,0
89,0.25,0,0.25,0,0.25,0,0.06,0.19,0.25,0,0.25,0,0.25,0
90,0.25,0.25,0.25,0,0,0.25,0.14,0.11,0.25,0,0.25,0,0,0.25
91,0.25,0.25,0.15,0,0,0,0,0.02,0,0,0,0,0,0
92,0.25,0.25,0.25,0,0.02,0.23,0.25,0,0,0,0.04,0.21,0.02,0.23
93,0.25,0.25,0.1,0.15,0,0.25,0.15,0,0.25,0,0.08,0,0.13,0
94,0.25,0.25,0.16,0.09,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25
95,0.25,0.25,0,0.25,0,0.25,0,0.25,0.03,0,0.1,0,0,0.08
97,0.25,0.25,0.25,0,0,0.06,0.25,0,0.02,0,0.25,0,0,0.06
98,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25
101,0,0,0,0.15,0,0,0,0,0,0,0.03,0,0.1,0
102,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25
103,0.25,0.02,0,0,0,0.02,0,0.25,0.25,0,0.21,0,0,0.01
106,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.2,0.05
107,0.09,0.18,0,0.25,0,0,0,0.24,0.18,0,0.25,0,0.18,0.05
108,0,0.25,0.1,0.15,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0
109,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0,0.25,0,0,0
110,0.25,0.25,0.25,0,0,0.25,0.25,0,0,0,0.25,0,0.12,0.13
111,0.25,0.25,0,0.25,0.14,0.11,0.17,0.08,0.25,0,0.25,0,0,0.25
113,0.25,0.25,0.05,0.2,0,0,0.25,0,0.09,0,0.25,0,0,0.25
114,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25
116,0.25,0.17,0.25,0,0,0.25,0,0.25,0.12,0,0.25,0,0,0
117,0.25,0.25,0.01,0.24,0,0,0.25,0,0.25,0,0.25,0,0,0.25
118,0.25,0.25,0.25,0,0,0.25,0.04,0.21,0.11,0,0.25,0,0.25,0
119,0,0.21,0,0,0,0,0,0,0.01,0,0,0,0,0
120,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0.25,0.25,0.03,0,0.25,0,0.17,0.08,0.25,0,0.25,0,0,0.25
122,0.25,0.25,0.04,0.21,0.25,0,0,0.04,0.25,0,0,0.25,0,0
123,0.25,0.08,0.25,0,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25
124,0.1,0.25,0,0.25,0.25,0,0,0.25,0.25,0,0.21,0,0.22,0
125,0.25,0.25,0.25,0,0,0.25,0.08,0.17,0.16,0.09,0.06,0.19,0.25,0
126,0.25,0.25,0.25,0,0.22,0.03,0,0.25,0.25,0,0.25,0,0.25,0
127,0.25,0.01,0.25,0,0,0,0.25,0,0.05,0,0.25,0,0,0.21
128,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0
129,0.25,0.23,0,0,0,0,0.25,0,0,0,0.25,0,0.2,0
130,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0.25,0,0.01,0,0,0,0,0,0.25
133,0.25,0.25,0.01,0.24,0.09,0.16,0.19,0.06,0.25,0,0.25,0,0.25,0
134,0.25,0.25,0.01,0.24,0,0.25,0.25,0,0.11,0.14,0.25,0,0.16,0.09
135,0.25,0.25,0.25,0,0,0,0.1,0.15,0.25,0,0.25,0,0,0.25
136,0.25,0.25,0,0.1,0.25,0,0.01,0,0,0,0,0,0,0
139,0.05,0.25,0,0,0.03,0.22,0.17,0.08,0.13,0,0.25,0,0,0
141,0.25,0.25,0,0,0,0,0,0,0,0,0.07,0.18,0,0.25
142,0.2,0.25,0.25,0,0,0.25,0.25,0,0.12,0.13,0.25,0,0,0
143,0.25,0,0,0,0,0,0.05,0.02,0,0,0,0.25,0,0
144,0.25,0,0,0,0,0,0.1,0,0,0,0,0,0.19,0
145,0.08,0,0.25,0,0,0,0,0,0,0,0,0,0,0
146,0,0.25,0,0,0.25,0,0.25,0,0,0.25,0,0,0.25,0
147,0.25,0.25,0.15,0,0.19,0,0,0.25,0.25,0,0.18,0,0,0
149,0.25,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0
150,0,0,0.19,0,0,0.25,0,0.25,0,0,0.25,0,0.25,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0.25,0.25,0,0,0.25,0,0,0,0.25,0,0,0.25,0,0.25
155,0.25,0,0.25,0,0,0,0,0.25,0,0,0.2,0.05,0,0
156,0.25,0.25,0,0.25,0.25,0,0.18,0.07,0.25,0,0.25,0,0,0.25
157,0.25,0.25,0.25,0,0.25,0,0,0,0.01,0.24,0.25,0,0,0.25
158,0.23,0.25,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0
160,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25
161,0.25,0.25,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0
164,0.25,0.03,0.23,0.02,0,0.25,0.25,0,0.25,0,0.25,0,0,0.15
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25
167,0.25,0.25,0.25,0,0.17,0.08,0.25,0,0,0.25,0.25,0,0.01,0.24
169,0.02,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0,0,0.17,0.08
170,0.25,0.25,0,0.1,0.25,0,0.01,0.24,0,0,0.25,0,0,0
171,0.25,0.25,0.05,0.2,0.25,0,0.2,0.05,0,0.25,0.25,0,0.25,0
173,0.25,0.12,0,0.25,0.05,0.08,0,0,0.25,0,0.12,0,0,0.13
