30,0.25,0.25,0,0.25,0.25,0,0.18,0.07,0.25,0,0.25,0,0,0.25
31,0.25,0,0.14,0,0,0,0.07,0,0.07,0,0,0,0,0.09
32,0.25,0.25,0.16,0.09,0.25,0,0.25,0,0.25,0,0.08,0.17,0.25,0
33,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
34,0.25,0.25,0.25,0,0.25,0,0,0,0.16,0,0.25,0,0,0
35,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25
36,0,0.25,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0.25
37,0.02,0.02,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0.25
38,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0.25
41,0.25,0.25,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0,0.25
42,0,0.02,0.25,0,0.13,0,0.02,0,0.02,0,0.02,0,0,0.11
43,0.25,0.25,0,0.25,0,0.25,0.25,0,0.19,0.06,0.25,0,0.25,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.25,0.25,0.08,0,0,0.25,0.18,0,0.25,0,0.25,0,0.25,0
46,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25
48,0.25,0.13,0,0.25,0,0.25,0.01,0.24,0.22,0,0,0.25,0,0.25
49,0.16,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0
50,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.13,0.12,0.25,0
51,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0
52,0.25,0.1,0.25,0,0,0,0.17,0,0.25,0,0.25,0,0,0.25
53,0.25,0.25,0,0,0,0.25,0.25,0,0,0,0.25,0,0.15,0
54,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0.03,0
56,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25
57,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0.08,0,0.25,0
58,0,0.25,0.25,0,0.05,0.2,0.25,0,0.25,0,0.25,0,0,0.25
59,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0
62,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0
63,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0,0.25,0,0,0.14
