62,0.06,0.29,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0,0,0.5
63,0.5,0.5,0.5,0,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0
64,0.5,0,0.5,0,0.29,0,0.5,0,0.5,0,0.47,0,0,0.5
65,0.14,0.5,0.23,0.27,0,0.5,0,0.5,0.5,0,0.18,0.32,0,0.5
66,0.49,0.27,0.5,0,0.5,0,0.12,0.38,0.5,0,0.5,0,0.3,0.05
67,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0
68,0.5,0.5,0.46,0.04,0.17,0.33,0.5,0,0.5,0,0.5,0,0,0.5
69,0,0.5,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
70,0,0,0,0.02,0.44,0.06,0.17,0.33,0,0,0.5,0,0,0
71,0.5,0.5,0,0.5,0.11,0.15,0.5,0,0,0.41,0.5,0,0.22,0.28
73,0.37,0.5,0.5,0,0.17,0.33,0.07,0.19,0.5,0,0.5,0,0.5,0
74,0,0.5,0.06,0.44,0.5,0,0,0.5,0.1,0.05,0.02,0,0.15,0.03
75,0.22,0,0.38,0,0,0.18,0.02,0,0.15,0,0.19,0,0,0.02
77,0.5,0.5,0,0.5,0,0.5,0.5,0,0.29,0.21,0.12,0,0,0.5
78,0.5,0.5,0.5,0,0.17,0.33,0.5,0,0.5,0,0.5,0,0.09,0.41
79,0.5,0.5,0,0.45,0.39,0,0.5,0,0.5,0,0.04,0,0,0.23
80,0.5,0.5,0.5,0,0.23,0.01,0.23,0.27,0,0,0.5,0,0,0.5
81,0.4,0.05,0.38,0,0.5,0,0,0.5,0.22,0,0,0,0,0.5
82,0,0.42,0,0,0.35,0.15,0,0,0.5,0,0,0.5,0,0
83,0.5,0.5,0.5,0,0.32,0,0.5,0,0,0,0.5,0,0,0
84,0,0,0.09,0,0,0,0,0,0,0,0,0.16,0,0
85,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0
86,0.5,0.5,0.5,0,0,0.5,0.36,0.14,0.48,0,0.5,0,0.5,0
87,0.5,0.5,0,0.5,0.05,0,0.5,0,0,0.03,0.3,0,0.5,0
88,0.5,0,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0.38,0.12
89,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0
90,0.5,0.5,0,0.5,0,0,0.25,0.07,0.32,0,0.5,0,0.07,0.43
92,0.4,0.5,0,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0.17,0.33
93,0.5,0.5,0.5,0,0.02,0,0.29,0.21,0,0.24,0.5,0,0,0.5
94,0.32,0.32,0.03,0.27,0,0,0,0,0,0,0.5,0,0.5,0
95,0.5,0.5,0.36,0.14,0,0.5,0.5,0,0.5,0,0.5,0,0,0.47
96,0.35,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0.27
97,0.5,0.5,0.37,0.13,0.24,0,0.25,0.25,0.2,0,0.5,0,0,0.5
98,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0
99,0.5,0.5,0.5,0,0.5,0,0.1,0.4,0.33,0.17,0.5,0,0.5,0
100,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0
101,0,0.5,0,0,0.38,0,0.5,0,0.02,0,0.5,0,0,0.5
103,0.33,0.5,0.2,0.3,0,0.5,0,0.17,0.23,0,0.5,0,0.16,0
105,0.5,0.5,0,0.5,0,0.5,0.11,0.09,0.5,0,0.5,0,0.36,0
106,0.2,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0.48,0.02,0,0.5
108,0.5,0.5,0.5,0,0,0.5,0.5,0,0.45,0,0.36,0.14,0.5,0
109,0.5,0.5,0,0,0.35,0,0.5,0,0.5,0,0.5,0,0.5,0
110,0,0,0,0,0.11,0.39,0,0.5,0.5,0,0.46,0.04,0.5,0
111,0.5,0.31,0.5,0,0.5,0,0.5,0,0.5,0,0.17,0.33,0.5,0
113,0.38,0.5,0.5,0,0.5,0,0,0.5,0,0,0.25,0.25,0.5,0
114,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0,0.5
116,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
117,0.1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
118,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
121,0.47,0,0.01,0.49,0.42,0.08,0.35,0,0.5,0,0.5,0,0.32,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0.5,0.17,0.16,0.34,0.2,0,0,0.38,0,0,0.39,0,0,0.5
125,0.5,0.47,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
126,0.5,0.5,0.29,0.21,0,0,0.5,0,0,0,0,0.5,0.5,0
127,0.23,0,0,0.25,0,0,0,0,0.01,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0.5,0.5,0,0.5,0,0.45,0.5,0,0.5,0,0.5,0,0.3,0.2
129,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0
130,0.11,0.37,0.5,0,0,0,0,0.2,0,0,0.07,0,0,0
131,0,0,0.24,0,0,0.02,0,0,0,0,0.23,0,0,0
132,0.35,0,0.01,0,0,0,0,0,0,0,0,0,0,0
133,0.03,0.23,0.23,0.27,0.5,0,0,0.49,0.42,0,0.19,0.31,0.5,0
134,0.5,0.5,0.5,0,0,0,0.5,0,0.28,0.22,0,0.5,0.5,0
136,0.5,0.37,0.5,0,0.5,0,0.13,0.37,0.5,0,0.5,0,0.5,0
137,0.5,0.28,0,0,0,0.33,0.03,0.47,0,0,0.3,0,0,0
138,0,0.5,0.05,0,0,0.5,0.5,0,0.04,0,0,0,0,0
138,0.5,0.5,0.5,0,0,0,0,0.17,0.28,0,0,0.05,0.24,0.26
139,0.5,0.15,0.47,0,0.5,0,0.15,0.12,0.5,0,0.41,0,0.5,0
141,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0,0.5
142,0,0,0.07,0.43,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
143,0.5,0.5,0.38,0.12,0.5,0,0,0.5,0,0,0,0,0,0
144,0.5,0.5,0.5,0,0.5,0,0,0.27,0.27,0.23,0.5,0,0.27,0
145,0.5,0.5,0.25,0.25,0,0.34,0.5,0,0.35,0,0.5,0,0.12,0.04
146,0.5,0.5,0.02,0.48,0,0.5,0.5,0,0.5,0,0.5,0,0,0.5
147,0.5,0.5,0,0,0.15,0,0,0.02,0,0,0.5,0,0,0
148,0.5,0.41,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0
149,0,0.29,0.45,0.05,0.31,0.19,0,0.5,0.5,0,0.5,0,0.5,0
150,0.5,0.05,0.5,0,0,0.06,0.05,0.45,0.5,0,0,0.5,0.32,0
151,0.5,0,0,0.5,0,0.38,0,0.5,0.13,0,0.5,0,0.05,0
155,0.5,0.5,0.5,0,0,0.5,0.1,0.4,0.5,0,0.5,0,0.5,0
156,0.5,0.5,0.16,0.34,0.5,0,0.33,0,0.5,0,0.5,0,0.5,0
157,0.5,0.5,0.3,0,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0
160,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0.3,0.2,0.5,0
161,0,0,0.26,0.24,0,0.5,0.12,0.38,0,0.5,0.41,0.09,0,0.5
162,0,0.37,0,0.5,0,0,0.25,0.25,0.5,0,0.14,0,0.5,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
164,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0.25,0,0.37,0.13
165,0,0.34,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0.5
166,0,0,0.5,0,0.5,0,0.5,0,0.26,0,0.5,0,0.41,0
167,0.31,0.5,0.44,0.06,0.5,0,0.5,0,0.5,0,0.5,0,0,0.5
168,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0
169,0,0.32,0,0.22,0.5,0,0.22,0.28,0.5,0,0.5,0,0,0.27
170,0.5,0.5,0.5,0,0,0.35,0.5,0,0.5,0,0,0.5,0,0.5
171,0.5,0.27,0.5,0,0.5,0,0.5,0,0,0,0.5,0,0,0.5
172,0.5,0.5,0,0,0,0,0.04,0.46,0.06,0.44,0.5,0,0,0.5
173,0,0,0,0,0.46,0,0,0,0.5,0,0,0.13,0,0
174,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0.26
175,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
176,0.28,0.5,0,0,0.1,0,0.03,0.47,0.5,0,0.5,0,0.06,0.44
177,0.5,0.42,0.5,0,0,0,0,0.5,0,0,0.5,0,0.5,0
178,0.5,0.5,0.5,0,0.27,0.23,0.15,0,0,0,0.5,0,0,0.5
179,0.5,0.39,0.22,0.28,0,0.5,0,0.5,0.45,0,0.5,0,0.44,0
180,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0.5
181,0.5,0.4,0.5,0,0.3,0,0.5,0,0.5,0,0.5,0,0,0.5
182,0.5,0.5,0,0.5,0.5,0,0.21,0.29,0.5,0,0.5,0,0.2,0.3
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0.38,0.02,0.48,0,0.5,0.5,0,0.45,0,0.5,0,0,0
