Timestamp	Event	Descriptor	AoiNames	
384	MovieStart	MutedBallie.avi		
932	KeyPress	Space		
932	MovieEnd	MutedBallie.avi		
1064			Content	
1447			Content	
1714			Content	
1797			Content	
2014			Content	
2647			Content	
2800	ImageStart	blacksquare.bmp		
2800	KeyPress	Space		
2800	ImageEnd	blacksquare.bmp		
2833	ImageStart	fixation.png		
3030			Content	
3313			Content	
3579			Content	
3823	ImageEnd	fixation.png		
3896			Content	
4445			Content	
5178			Content	
5411			Content	
5911			Content	
6131	ImageStart	Slide1.JPG		
6132	KeyPress	Space		
6132	ImageEnd	Slide1.JPG		
6166	ImageStart	fixation.png		
6894			Content	
7145	ImageEnd	fixation.png		
7167	ImageStart	Slide2.JPG		
7393			AOI_1	
7876			Content	
8043			Content	
8576			Content	
12356			AOI_1	
13339	KeyPress	Escape		
13340	ImageEnd	Slide2.JPG		
