69,1.93,7.15,2.84,1.95,3.2,1.22,3.61,5.3,2.63,6.8,2.64,1.97,,
70,1.67,1.73,0,0,0,0,3.22,0,0.82,0,0,0,,
72,3.3,1.84,1.7,2.83,2.12,1.17,2.76,0.87,1.47,2.75,1.66,2.75,,
73,3.18,3.65,2.83,1.37,0.32,0.97,3.08,1.98,3.85,1.48,0.82,1,,
74,1.38,2.3,0,0.25,0,0,1.15,2.2,0,0.77,0.17,0,,
75,1.33,1.52,1.1,1.8,1.7,0.57,2.27,3.86,2.35,1.08,0.53,0.67,,
76,2.45,3.11,0.13,0.15,2.26,1.82,2.66,3.18,0.52,1.22,0.88,0.52,,
77,1.88,4.25,1.82,0.18,1.57,1.07,0.92,4.75,1.02,4.07,0.38,0.34,,
78,1.92,1.98,0.13,0.68,1.93,2.66,2.41,0,1.43,1.36,0.83,0.17,,
79,3.23,2.85,0,0,0.58,0.22,0.32,2.3,0.83,2.75,0,0,,
80,0.48,1.3,0,0,0,0,0.55,0.5,0,0,0,0,,
81,2.95,4.02,1.12,2.96,2.5,1.1,3.59,2.46,3.13,3,1.43,1.68,,
83,1.77,7.15,3.55,1.05,3.06,1.4,3.38,5.02,1.82,6.15,1.97,2.66,,
87,1.87,3.38,1.23,2,0,0,3.91,2.85,1.93,5.1,0.38,0.1,,
90,2.08,5.81,2.1,1.62,2.98,1.58,2.05,6.82,2.8,5.31,1.93,1.47,,
91,3.35,3.56,1.43,1.1,0,2.2,4.15,1.25,2.18,1.95,0.75,1.97,,
93,2.37,2.2,2.07,0.7,2.1,1.18,4.46,1.11,2.6,2.81,0.43,1.1,,
94,2.13,7.03,2.01,1.98,3.49,0.87,3.56,5.74,1.05,7.61,2.03,1.88,,
95,3.43,4.28,2.67,2.08,2.49,1.38,1.43,7.19,3.53,4.03,1.37,3.17,,
97,1.38,4.11,2.27,1.68,0,0.63,3.67,2.98,4.6,4.16,0.52,1.18,,
98,4.44,3.16,0.97,1.2,2.05,2.34,4.63,4.28,2.17,5.02,2.3,2.3,,
101,1.83,1.85,2.41,1.15,0.72,0.35,1.08,0.62,2.46,2.68,2.08,2.61,,
102,4.43,3.88,1.96,2.3,1.72,1.84,4.41,3.26,5.26,3.33,1.4,2.75,,
103,4.04,3.52,1.75,2.03,2.08,0.34,2.61,4.82,5.36,2.25,2.81,1.58,,
106,3.66,4.17,0.37,1.33,0.08,0.98,0.35,1.03,1.97,2.26,1.87,2.05,,
108,3.74,5.07,0,0,1.28,0.73,2.83,1.8,1.91,4.1,0.37,0.55,,
109,1.91,1.58,1.83,1.39,1.45,1.42,3.39,3.23,3.3,3.28,2.51,1.79,,
110,3.55,3.58,1.4,1.9,0.02,0.42,4.34,4.53,2.65,5.65,2.66,1.23,,
111,4.73,3.43,1.25,1.3,1.68,1.18,4,2.5,5.76,2.44,2.41,1.63,,
