155,0.5,0,0.5,0,0,0,0.18,0,0,0.5,0.21,0,0.08,0,0,0,0,0,0.06,0.44,0.31,0.19,0.32,0,0.5,0,0,0,0.41,0,0,0.11,0,0,0,0,0.18,0.27,0,0
156,0,0,0,0,0.26,0,0.5,0,0,0,0.18,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0.5,0.46,0.04,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.08,0.42,0.5,0,0,0.2,0.5,0,0.32,0
158,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0,0.23,0,0,0.5,0,0,0,0,0,0,0.5,0,0.41,0.09,0.03,0,0,0,0,0,0,0,0,0
160,0.11,0.39,0.12,0.38,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0,0.33,0.13,0.37,0,0,0,0.5,0,0.17,0,0.5,0,0,0,0.21,0,0,0,0.4,0,0.05,0,0,0,0.33
161,0.47,0.03,0.33,0.17,0.39,0,0.12,0.38,0.5,0,0.16,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0.46,0.04,0.14,0.36,0.5,0,0,0.37,0.37,0.13,0.5,0,0.5,0,0,0.33,0,0.5
162,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0.42,0,0.5,0,0.46,0.04,0,0,0,0,0,0.06,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0
164,0.45,0,0,0,0.29,0,0,0,0,0,0.39,0,0.2,0,0,0,0,0,0,0,0.5,0,0.02,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.07,0,0
165,0,0.5,0,0.31,0.28,0,0,0,0,0,0.3,0.2,0,0,0.02,0,0,0.2,0,0,0.36,0,0.5,0,0,0,0,0,0.35,0.15,0,0.5,0,0,0.5,0,0,0.5,0,0
166,0,0,0.5,0,0.3,0,0,0.5,0,0,0,0.5,0,0.27,0,0.5,0.5,0,0,0.12,0,0,0.19,0.31,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0
167,0,0.5,0.08,0.42,0.5,0,0,0.46,0,0,0,0.4,0.3,0.04,0.23,0,0,0,0,0,0,0,0.25,0.25,0.5,0,0,0.49,0.18,0,0.25,0.07,0,0.5,0.38,0.12,0.43,0,0,0.5
169,0.5,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.5,0,0.5,0,0.45,0.05,0,0,0.5,0,0,0,0,0,0,0,0,0.39
170,0.08,0.42,0.09,0.41,0.08,0.42,0,0.5,0,0.5,0,0,0.5,0,0,0.06,0.5,0,0,0,0.43,0,0,0.36,0,0,0.5,0,0.42,0.08,0.5,0,0.5,0,0,0,0,0,0.32,0.06
171,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0.14,0,0,0,0.35,0,0,0,0.5,0,0.24,0.26,0.5,0,0,0,0,0,0.3,0.2,0,0
173,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0.42,0,0,0,0,0.05,0.45,0,0,0.01,0,0.49,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.09,0.15,0.35,0.47,0,0.3,0,0,0
176,0,0,0,0,0.08,0.29,0.07,0.43,0,0,0,0.5,0.26,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.29,0.09,0.22,0,0.5,0,0,0,0.02,0
177,0.18,0,0,0,0,0,0,0,0,0.5,0.16,0.34,0.5,0,0.27,0,0,0,0,0.5,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0.14,0.21,0.29,0,0.24
